id;country
1;Afghanistan
2;Albania
3;Algeria
4;American Samoa
5;Andorra
6;Angola
7;Antigua and Barbuda
8;Argentina
9;Armenia
10;Aruba
11;Australia
12;Austria
13;Azerbaijan
14;Bahamas, The
15;Bahrain
16;Bangladesh
17;Barbados
18;Belarus
19;Belgium
20;Belize
21;Benin
22;Bermuda
23;Bhutan
24;Bolivia
25;Bosnia and Herzegovina
26;Botswana
27;Brazil
28;Brunei Darussalam
29;Bulgaria
30;Burkina Faso
31;Burundi
32;Cabo Verde
33;Cambodia
34;Cameroon
35;Canada
36;Cape Verde
37;Cayman Islands
38;Central African Republic
39;Chad
40;Channel Islands
41;Chile
42;China
43;Colombia
44;Comoros
45;Congo, Dem. Rep.
46;Congo, Rep.
47;Costa Rica
48;Cote d'Ivoire
49;Croatia
50;Cuba
51;Curacao
52;Cyprus
53;Czech Republic
54;Côte d'Ivoire
55;Denmark
56;Djibouti
57;Dominica
58;Dominican Republic
59;Ecuador
60;Egypt, Arab Rep.
61;El Salvador
62;Equatorial Guinea
63;Eritrea
64;Estonia
65;Ethiopia
66;Faeroe Islands
67;Fiji
68;Finland
69;France
70;French Polynesia
71;Gabon
72;Gambia, The
73;Georgia
74;Germany
75;Ghana
76;Gibraltar
77;Gibralter
78;Greece
79;Greenland
80;Grenada
81;Guam
82;Guatemala
83;Guinea
84;Guinea-Bissau
85;Guyana
86;Haiti
87;Honduras
88;Hong Kong SAR, China
89;Hong Kong, China
90;Hungary
91;Iceland
92;India
93;Indonesia
94;Iran, Islamic Rep.
95;Iraq
96;Ireland
97;Isle of Man
98;Israel
99;Italy
100;Jamaica
101;Japan
102;Jordan
103;Kazakhstan
104;Kenya
105;Kiribati
106;Korea, Dem. Rep.
107;Korea, Rep.
108;Kosovo
109;Kuwait
110;Kyrgyz Republic
111;Lao PDR
112;Latvia
113;Lebanon
114;Lesotho
115;Liberia
116;Libya
117;Liechtenstein
118;Lithuania
119;Luxembourg
120;Macao SAR, China
121;Macao, China
122;Macedonia, FYR
123;Madagascar
124;Malawi
125;Malaysia
126;Maldives
127;Mali
128;Malta
129;Marshall Islands
130;Mauritania
131;Mauritius
132;Mayotte
133;Mexico
134;Micronesia, Fed. Sts.
135;Moldova
136;Monaco
137;Mongolia
138;Montenegro
139;Morocco
140;Mozambique
141;Myanmar
142;Namibia
143;Nepal
144;Netherlands
145;Netherlands Antilles
146;New Caledonia
147;New Zealand
148;Nicaragua
149;Niger
150;Nigeria
151;Northern Mariana Islands
152;Norway
153;Oman
154;Other North
155;Other South
156;Pakistan
157;Palau
158;Panama
159;Papua New Guinea
160;Paraguay
161;Peru
162;Philippines
163;Poland
164;Portugal
165;Puerto Rico
166;Qatar
167;Romania
168;Russian Federation
169;Rwanda
170;Samoa
171;San Marino
172;Sao Tome and Principe
173;Saudi Arabia
174;Senegal
175;Serbia
176;Seychelles
177;Sierra Leone
178;Singapore
179;Sint Maarten (Dutch part)
180;Slovak Republic
181;Slovenia
182;Solomon Islands
183;Somalia
184;South Africa
185;South Sudan
186;Spain
187;Sri Lanka
188;St. Kitts and Nevis
189;St. Lucia
190;St. Martin (French part)
191;St. Vincent and the Grenadines
192;Sudan
193;Suriname
194;Swaziland
195;Sweden
196;Switzerland
197;Syrian Arab Republic
198;São Tomé and Principe
199;Tajikistan
200;Tanzania
201;Thailand
202;Timor-Leste
203;Togo
204;Tonga
205;Trinidad and Tobago
206;Tunisia
207;Turkey
208;Turkmenistan
209;Turks and Caicos Islands
210;Tuvalu
211;Uganda
212;Ukraine
213;Unidentified
214;United Arab Emirates
215;United Kingdom
216;United States
217;Uruguay
218;Uzbekistan
219;Vanuatu
220;Venezuela, RB
221;Vietnam
222;Virgin Islands (U.S.)
223;West Bank and Gaza
224;Yemen, Rep.
225;Zambia
226;Zimbabwe
